date_start,date_end,card,descript,platform,detail_date,detail_card,detail_desc,detail_goods,detail_limit,update_dt
2022.9.10,2022.9.11,KB국민카드,"최대 2만원, 해피라운지 8% 청구할인",shinsegae mall,2022. 9. 10 (토) ~ 9. 11 (일) (※승인일시 기준),"KB국민카드 (기업/선불/기프트/KB비씨/KB증권/카카오뱅크카드 제외, 체크카드 포함)",KB국민카드로 해피라운지 상품 결제 시 8% 청구할인,"해피라운지 상품 (※서비스 상품, 상품권 및 일부상품 제외)",1인 1일 최대 2만원 한도 (가족카드 회원 포함),2022-09-11 05:46:26.287373
2022.9.10,2022.9.15,SSG.COM카드 Edition2,최대 3만원! 5% 즉시할인 ,ssg.com,2022. 9. 10 (토) ~ 9. 15 (목) (※승인일시 기준),"SSG.COM카드 Edition2 (※선불,체크,기프트,법인카드 제외)",SSG.COM카드 Edition2로 결제 시 대상상품 금액의 5% 즉시할인,"SSG.COM상품 (※서비스 상품, 상품권 및 일부상품 제외)",결제페이지에서 SSG.COM카드 Edition2를 선택하시면 즉시할인이 적용 된 카드할인 최적가를 확인하실 수 있습니다. (※즉시할인 적용 시 결제쿠폰/상품쿠폰/등급쿠폰 등 타 쿠폰 사용 불가),2022-09-11 05:46:26.287373
2022.9.8,2022.9.11,롯데카드,SSGPAY로 7만원 이상 결제 시 5% 청구할인,ssg.com,2022. 9. 8 (목) ~ 9. 11 (일) (※승인일시 기준),"롯데카드 (※단, 법인/기프트/체크카드 제외)",SSGPAY로 롯데카드 7만원 이상 결제 시 5% 청구할인,SSG.COM상품 (※서비스 상품/상품권 및 일부상품 제외),1인 1일 최대 5만원 한도,2022-09-11 05:46:26.287373
2022.9.7,2022.9.12,SSG.COM삼성카드,최대 3만원! 7% 즉시할인 ,ssg.com,2022. 9. 7 (수) ~ 9. 12 (월) (※승인일시 기준),SSG.COM삼성카드 ※본 프로모션은 SSG.COM삼성카드를 보유하신 기존 회원님께 적용되는 혜택입니다.,SSG.COM삼성카드로 결제 시 7% 즉시할인,"SSG.COM 상품 (※서비스 상품, 상품권 및 일부상품 제외)",결제페이지에서 SSG.COM삼성카드를 선택하시면 즉시할인이 적용 된 카드할인 최적가를 확인하실 수 있습니다. (※즉시할인 적용 시 결제쿠폰/상품쿠폰/등급쿠폰 등 타 쿠폰 사용 불가),2022-09-11 05:46:26.287373
2022.9.13,2022.9.14,삼성카드,SSGPAY로 7만원 이상 결제 시 8% 청구할인,ssg.com,2022. 9. 13 (화) ~ 9. 14 (수) (※승인일시 기준),삼성 개인신용카드 (법인/선불/체크/기프트/올앳카드 제외),SSGPAY로 삼성카드 7만원 이상 결제 시 8% 청구할인,SSG.COM 상품 (서비스 상품/상품권 및 일부상품 제외),삼성카드 1인 1일 5만원 한도,2022-09-14 00:33:52.175633
2022.9.12,2022.9.18,롯데카드,대상상품 10% 청구할인 ,shinsegae mall,2022. 9. 12 (월) ~ 9. 18 (일) (※승인일시 기준),"롯데카드 (※단, 법인/기프트/체크카드 제외)",롯데카드로 까사미아/프리미엄아울렛 상품 10만원 이상 결제 시 10% 청구할인 Tip SSGPAY에 등록된 롯데카드로 결제 시에도 할인 적용,까사미아/프리미엄아울렛 상품 (※일부상품 제외),까사미아/프리미엄아울렛 청구할인 상품을 함께 결제 할 경우 청구할인 적용이 불가하니 반드시 각각 결제하시기 바랍니다.,2022-09-14 00:33:52.175633
2022.7.8,2023.6.28,스마일클럽 전용 카드,스마일클럽 가입비 100% 지원 SSG머니 최대 12% 적립,ssg.com,,,,,,2022-09-14 00:33:52.175633
2022.3.28,2023.2.16,현대카드,장기무이자 최대 20개월 혜택! ,ssg.com,,,,,,2022-09-14 00:33:52.175633
2022.9.12,2022.9.12,신한카드,SSGPAY로 7만원 이상 결제 시 8% 청구할인,ssg.com,2022. 9. 12 (월) (※승인일시 기준),"신한카드 (※단, 신한BC/법인/선불/기프트 카드 제외, 체크카드 포함)",SSGPAY로 신한카드 7만원 이상 결제 시 8% 청구할인,SSG.COM 상품 (※서비스 상품/상품권 및 일부상품 제외),1인 1일 최대 5만원 한도,2022-09-12 00:32:03.459360
2022.09.15,2022.09.15,KB국민카드,SSGPAY로 7만원 이상 결제 시 8% 청구할인,ssg.com,2022. 9. 15 (목) (※승인일시 기준),"KB국민카드 (기업/선불/기프트/KB비씨/KB증권/카카오뱅크카드 제외, 체크카드 포함)",SSGPAY로 KB국민카드 7만원 이상 결제 시 8% 청구할인,SSG.COM 상품 (서비스 상품/상품권 및 일부상품 제외),1인 1일 최대 5만원 한도 (가족카드 회원 포함),2022-09-15 00:37:36.431743
